iter	Passed	Remaining
0	478	238835
1	925	230537
2	1497	248052
3	1973	244737
4	2645	261885
5	3079	253573
6	3500	246549
7	3929	241684
8	4358	237803
9	4778	234129
10	5207	231480
11	5622	228661
12	6057	226930
13	6464	224401
14	6870	222160
15	7283	220319
16	7696	218683
17	8123	217522
18	8543	216279
19	8951	214833
20	9364	213603
21	9776	212410
22	10185	211239
23	10605	210348
24	11022	209425
25	11438	208536
26	11858	207744
27	12285	207100
28	12690	206114
29	13104	205306
30	13505	204328
31	13922	203620
32	14329	202781
33	14741	202052
34	15147	201239
35	15564	200606
36	15969	199833
37	16370	199030
38	16787	198439
39	17186	197643
40	17592	196951
41	18007	196365
42	18444	196026
43	18884	195707
44	19378	195933
45	19847	195887
46	20321	195863
47	20992	197676
48	21463	197548
49	22028	198252
50	22525	198315
51	23019	198321
52	23569	198784
53	24128	199280
54	24564	198747
55	24983	198084
56	25434	197678
57	25847	196977
58	26277	196411
59	26767	196297
60	27234	196000
61	27753	196068
62	28223	195773
63	28660	195252
64	29131	194958
65	29582	194528
66	29997	193866
67	30438	193375
68	30855	192735
69	31272	192099
70	31685	191449
71	32093	190776
72	32528	190269
73	32938	189617
74	33364	189063
75	33777	188443
76	34218	187979
77	34666	187555
78	35115	187136
79	35628	187051
80	36083	186651
81	36499	186060
82	36908	185431
83	37312	184787
84	37727	184198
85	38140	183605
86	38546	182983
87	39000	182595
88	39471	182280
89	39899	181765
90	40314	181193
91	40743	180688
92	41149	180084
93	41559	179501
94	41974	178944
95	42393	178407
96	42800	177820
97	43239	177368
98	43658	176839
99	44072	176288
100	44479	175714
101	44885	175140
102	45304	174619
103	45711	174056
104	46134	173551
105	46549	173025
106	46961	172486
107	47379	171968
108	47791	171434
109	48212	170935
110	48631	170428
111	49035	169873
112	49443	169334
113	49853	168802
114	50260	168263
115	50678	167763
116	51081	167216
117	51495	166705
118	51909	166199
119	52324	165693
120	52723	165142
121	53133	164628
122	53547	164124
123	53951	163594
124	54357	163072
125	54812	162697
126	55229	162210
127	55640	161704
128	56051	161201
129	56491	160783
130	56913	160312
131	57343	159865
132	57752	159361
133	58163	158865
134	58608	158460
135	59048	158041
136	59460	157548
137	59866	157041
138	60278	156549
139	60758	156236
140	61221	155876
141	61684	155514
142	62135	155121
143	62607	154780
144	63065	154402
145	63485	153929
146	63893	153432
147	64303	152938
148	64712	152442
149	65128	151966
150	65553	151510
151	65992	151088
152	66432	150667
153	66884	150273
154	67409	150039
155	67974	149892
156	68390	149414
157	68802	148926
158	69221	148457
159	69635	147975
160	70048	147494
161	70457	147004
162	70866	146515
163	71281	146040
164	71691	145556
165	72115	145100
166	72551	144667
167	72972	144208
168	73382	143725
169	73801	143261
170	74213	142784
171	74619	142298
172	75030	141820
173	75452	141364
174	75863	140889
175	76274	140414
176	76685	139939
177	77088	139452
178	77499	138980
179	77910	138507
180	78320	138034
181	78737	137574
182	79351	137455
183	79774	137003
184	80219	136590
185	80633	136123
186	81040	135645
187	81455	135181
188	81905	134775
189	82345	134353
190	82746	133867
191	83154	133393
192	83561	132919
193	83974	132455
194	84390	131994
195	84803	131532
196	85215	131067
197	85637	130618
198	86047	130151
199	86454	129681
200	86860	129210
201	87270	128745
202	87681	128283
203	88102	127835
204	88513	127373
205	88919	126905
206	89320	126429
207	89727	125963
208	90145	125514
209	90577	125083
210	91122	124808
211	91533	124346
212	91932	123871
213	92347	123418
214	92762	122964
215	93172	122504
216	93579	122041
217	93997	121593
218	94402	121128
219	94812	120670
220	95227	120219
221	95638	119764
222	96047	119305
223	96459	118851
224	96871	118398
225	97296	117960
226	97717	117519
227	98178	117125
228	98699	116801
229	99241	116501
230	99652	116045
231	100064	115591
232	100476	115138
233	100884	114680
234	101296	114228
235	101701	113768
236	102111	113313
237	102515	112853
238	102931	112406
239	103340	111951
240	103748	111497
241	104154	111041
242	104567	110591
243	104987	110150
244	105393	109695
245	105810	109251
246	106218	108798
247	106627	108347
248	107039	107899
249	107460	107460
250	107887	107028
251	108308	106589
252	108711	106133
253	109127	105690
254	109552	105256
255	109974	104819
256	110387	104373
257	110796	103925
258	111201	103473
259	111620	103034
260	112029	102586
261	112443	102143
